Rank,Title,IsoAbbr,H index,SJR,Country,Region,Coverage,search
6539,Applied neuropsychology. Adult,Appl Neuropsychol Adult,49,"0,494",United States,Northern America,2012-2020,Applied neuropsychology. Adult[Journal]
6548,Brachytherapy,Brachytherapy,49,"0,868",United States,Northern America,2002-2020,Brachytherapy[Journal]
6571,Evaluation,Evaluation,49,"0,998",United Kingdom,Western Europe,1995-2020,Evaluation[Journal]
6584,Frontiers in Marine Science,Front Mar Sci,49,"1,558",Switzerland,Western Europe,2014-2020,Frontiers in Marine Science[Journal]
6608,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg,49,"0,701",Germany,Western Europe,2006-2020,International journal of computer assisted radiology and surgery[Journal]
6635,Journal of the American Psychoanalytic Association,J Am Psychoanal Assoc,49,"1,974",United States,Northern America,1953-2020,Journal of the American Psychoanalytic Association[Journal]
6637,Journal of the International Society of Sports Nutrition,J Int Soc Sports Nutr,49,"1,341",United Kingdom,Western Europe,2007-2020,Journal of the International Society of Sports Nutrition[Journal]
6650,Neurology India,Neurol India,49,"0,339",India,Asiatic Region,"1965-1979, 1981-1984, 1986-1988, 1994-2020",Neurology India[Journal]
6656,Organogenesis,Organogenesis,49,"0,520",United States,Northern America,"2004-2005, 2007-2020",Organogenesis[Journal]
6667,Preslia,Preslia,49,"1,792",Czech Republic,Eastern Europe,"1979, 1982-2020",Preslia[Journal]
6671,Research Evaluation,Res Eval,49,"0,875",United Kingdom,Western Europe,"1991-1996, 1998-2020",Research Evaluation[Journal]
6673,Revista do Instituto de Medicina Tropical de Sao Paulo,Rev Inst Med Trop Sao Paulo,49,"0,594",Brazil,Latin America,1961-2020,Revista do Instituto de Medicina Tropical de Sao Paulo[Journal]
6685,Trends in hearing,Trends Hear,49,"1,540",United States,Northern America,2013-2020,Trends in hearing[Journal]
6744,Immunotherapy,Immunotherapy,48,"1,127",United Kingdom,Western Europe,2009-2020,Immunotherapy[Journal]
6784,Laterality,Laterality,48,"0,665",United Kingdom,Western Europe,1996-2020,Laterality[Journal]
6802,Phlebology,Phlebology,48,"0,522",United Kingdom,Western Europe,1986-2020,Phlebology[Journal]
6815,Simulation,Simulation,48,"0,301",United Kingdom,Western Europe,1963-2020,Simulation[Journal]
6821,Survival,Survival (Lond),48,"0,447",United Kingdom,Western Europe,1959-2020,Survival[Journal]
6934,L'Encephale,Encephale,47,"0,365",France,Western Europe,"1946, 1949-1973, 1975-2020",L'Encephale[Journal]
6967,Scanning,Scanning,47,"0,359",United States,Northern America,"1978-1981, 1983-2020",Scanning[Journal]
6971,Strain,Strain,47,"0,477",United Kingdom,Western Europe,1965-2020,Strain[Journal]
7033,Ethnicities,Ethnicities,46,"0,721",United Kingdom,Western Europe,2001-2020,Ethnicities[Journal]
7034,Ethnography,Ethnography,46,"0,453",United Kingdom,Western Europe,2000-2020,Ethnography[Journal]
7104,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,J Med Assoc Thai,46,"0,124",Thailand,Asiatic Region,1970-2020,Journal of the Medical Association of Thailand = Chotmaihet thangphaet[Journal]
7109,Lymphology,Lymphology,46,"0,210",United States,Northern America,1968-2020,Lymphology[Journal]
7121,Optimization,Optimization,46,"0,906",United Kingdom,Western Europe,1985-2020,Optimization[Journal]
7173,Zebrafish,Zebrafish,46,"0,722",United States,Northern America,2005-2020,Zebrafish[Journal]
7186,Analysis,Analysis,45,"0,452",United Kingdom,Western Europe,"1933-1940, 1947-1994, 1996-2020",Analysis[Journal]
7187,Annals of the Institute of Statistical Mathematics,Ann Inst Stat Math,45,"0,650",Netherlands,Western Europe,"1949-1957, 1959-2020",Annals of the Institute of Statistical Mathematics[Journal]
7197,Biointerphases,Biointerphases,45,"0,633",United States,Northern America,2008-2020,Biointerphases[Journal]
7245,International journal of oral science,Int J Oral Sci,45,"1,395",China,Asiatic Region,2009-2020,International journal of oral science[Journal]
7250,JCI insight,JCI Insight,45,"4,099",United States,Northern America,2016-2020,JCI insight[Journal]
7296,Mycoscience,Mycoscience,45,"0,612",Netherlands,Western Europe,1994-2020,Mycoscience[Journal]
7302,Paediatrics and international child health,Paediatr Int Child Health,45,"0,638",United Kingdom,Western Europe,2012-2020,Paediatrics and international child health[Journal]
7304,Pediatric nursing,Pediatr Nurs,45,"0,219",United Kingdom,Western Europe,1975-2019,Pediatric nursing[Journal]
7306,Pesquisa odontologica brasileira = Brazilian oral research,Pesqui Odontol Bras,45,"0,847",Brazil,Latin America,2001-2020,Pesquisa odontologica brasileira = Brazilian oral research[Journal]
7334,Waterbirds,Waterbirds,45,"0,298",United States,Northern America,1996-2020,Waterbirds[Journal]
7347,Annals of the ICRP,Ann ICRP,44,"0,712",United States,Northern America,"1976-1989, 1991, 1993-2010, 2012-2020",Annals of the ICRP[Journal]
7382,Dendrochronologia,Dendrochronologia (Verona),44,"0,857",Germany,Western Europe,"1989, 2002-2020",Dendrochronologia[Journal]
7383,Der Anaesthesist,Anaesthesist,44,"0,242",Germany,Western Europe,1952-2020,Der Anaesthesist[Journal]
7384,Der Nervenarzt,Nervenarzt,44,"0,275",Germany,Western Europe,1947-2020,Der Nervenarzt[Journal]
7385,Digest Journal of Nanomaterials and Biostructures,Dig J Nanomater Biostruct,44,"0,256",Romania,Eastern Europe,2009-2020,Digest Journal of Nanomaterials and Biostructures[Journal]
7401,Forests,Forests,44,"0,676",Switzerland,Western Europe,2010-2020,Forests[Journal]
7403,Fractals,Fractals,44,"0,654",Singapore,Asiatic Region,1995-2020,Fractals[Journal]
7453,Klinische Padiatrie,Klin Padiatr,44,"0,228",Germany,Western Europe,1972-2020,Klinische Padiatrie[Journal]
7469,Micromachines,Micromachines (Basel),44,"0,575",Switzerland,Western Europe,2010-2020,Micromachines[Journal]
7476,Nurse researcher,Nurse Res,44,"0,329",United Kingdom,Western Europe,2001-2020,Nurse researcher[Journal]
7486,Progress in molecular and subcellular biology,Prog Mol Subcell Biol,44,"1,308",Germany,Western Europe,"1994, 1996-2007, 2009-2013, 2017-2019",Progress in molecular and subcellular biology[Journal]
7518,Andrology,Andrology,43,"0,947",United States,Northern America,2013-2020,Andrology[Journal]
7528,Bulletin of the Hospital for Joint Disease (2013),Bull Hosp Jt Dis (2013),43,"0,267",United States,Northern America,2013-2020,Bulletin of the Hospital for Joint Disease (2013)[Journal]
7532,Channels,Channels,43,"1,007",United States,Northern America,2007-2020,Channels[Journal]
7545,Der Orthopade,Orthopade,43,"0,356",Germany,Western Europe,1973-2020,Der Orthopade[Journal]
7566,Hormones,Hormones,43,"0,661",Germany,Western Europe,2005-2020,Hormones[Journal]
7611,JPMA. The Journal of the Pakistan Medical Association,J Pak Med Assoc,43,"0,242",Pakistan,Asiatic Region,"1966, 1972-2020",JPMA. The Journal of the Pakistan Medical Association[Journal]
7626,Nursing in critical care,Nurs Crit Care,43,"0,689",United Kingdom,Western Europe,"1996-2000, 2002-2020",Nursing in critical care[Journal]
7627,Nursing standard (Royal College of Nursing (Great Britain) : 1987),Nurs Stand,43,"0,133",United Kingdom,Western Europe,1987-2020,Nursing standard (Royal College of Nursing (Great Britain) : 1987)[Journal]
7632,Phonology,Phonology,43,"0,848",United Kingdom,Western Europe,"1984, 1988-1989, 1991-2020",Phonology[Journal]
7636,Prion,Prion,43,"0,625",United States,Northern America,2007-2020,Prion[Journal]
7668,Topics in antiviral medicine,Top Antivir Med,43,"0,935",United States,Northern America,2011-2020,Topics in antiviral medicine[Journal]
7680,ZooKeys,Zookeys,43,"0,672",Bulgaria,Eastern Europe,2009-2020,ZooKeys[Journal]
7699,Australian journal of general practice,Aust J Gen Pract,42,"0,421",Australia,Pacific Region,2018-2020,Australian journal of general practice[Journal]
7702,Biology,Biology (Basel),42,"1,731",Switzerland,Western Europe,2012-2020,Biology[Journal]
7710,Cancer genetics,Cancer Genet,42,"0,875",Netherlands,Western Europe,2011-2020,Cancer genetics[Journal]
7741,Ethnos,Ethnos,42,"0,526",United Kingdom,Western Europe,1936-2020,Ethnos[Journal]
7748,Extreme Mechanics Letters,Extreme Mech Lett,42,"1,524",United Kingdom,Western Europe,2014-2020,Extreme Mechanics Letters[Journal]
7784,IUCrJ,IUCrJ,42,"2,832",United Kingdom,Western Europe,2014-2020,IUCrJ[Journal]
7819,Membranes,Membranes,42,"0,609",Switzerland,Western Europe,2010-2020,Membranes[Journal]
7819,Membranes,Membranes (Basel),42,"0,609",Switzerland,Western Europe,2010-2020,Membranes[Journal]
7822,Mycotaxon,Mycotaxon,42,"0,366",United States,Northern America,"1989, 1996-2020",Mycotaxon[Journal]
7826,Oncogenesis,Oncogenesis,42,"2,497",United States,Northern America,2012-2020,Oncogenesis[Journal]
7871,African journal of reproductive health,Afr J Reprod Health,41,"0,455",Nigeria,Africa,"1997-1998, 2000-2020",African journal of reproductive health[Journal]
7907,Development Southern Africa,Dev South Afr,41,"0,407",United Kingdom,Western Europe,1984-2020,Development Southern Africa[Journal]
7916,Epidemics,Epidemics,41,"2,023",Netherlands,Western Europe,2009-2020,Epidemics[Journal]
7981,Mobilization,Mobilization,41,"0,558",United States,Northern America,2005-2019,Mobilization[Journal]
7982,Modern China,Mod China,41,"0,690",United States,Northern America,1975-2020,Modern China[Journal]
7992,Phonetica,Phonetica,41,"0,591",Switzerland,Western Europe,1957-2020,Phonetica[Journal]
8002,Publius,Publius,41,"0,926",United Kingdom,Western Europe,1971-2020,Publius[Journal]
8006,Research and theory for nursing practice,Res Theory Nurs Pract,41,"0,172",United States,Northern America,2002-2020,Research and theory for nursing practice[Journal]
8010,Sarcoma,Sarcoma,41,"0,781",United States,Northern America,1997-2020,Sarcoma[Journal]
8028,Zoologischer Anzeiger,Zool Anz,41,"0,656",Germany,Western Europe,"1961, 1982-1983, 1990-2020",Zoologischer Anzeiger[Journal]
8039,AMB Express,AMB Express,40,"0,702",Germany,Western Europe,2011-2020,AMB Express[Journal]
8045,Beneficial microbes,Benef Microbes,40,"1,114",Netherlands,Western Europe,2010-2020,Beneficial microbes[Journal]
8046,Biofuels,Biofuels,40,"0,477",United Kingdom,Western Europe,2010-2020,Biofuels[Journal]
8049,Bulletin of the Menninger Clinic,Bull Menninger Clin,40,"0,414",United States,Northern America,1945-2020,Bulletin of the Menninger Clinic[Journal]
8056,Cellular oncology (Dordrecht),Cell Oncol (Dordr),40,"1,698",Netherlands,Western Europe,2011-2020,Cellular oncology (Dordrecht)[Journal]
8091,Hemoglobin,Hemoglobin,40,"0,300",United States,Northern America,1976-2020,Hemoglobin[Journal]
8145,Metrika,Metrika,40,"0,728",Germany,Western Europe,1958-2020,Metrika[Journal]
8146,Minerva,Minerva,40,"0,719",Netherlands,Western Europe,1962-2020,Minerva[Journal]
8151,Nova Hedwigia,Nova Hedwigia,40,"0,412",Germany,Western Europe,1993-2020,Nova Hedwigia[Journal]
8184,Stapp car crash journal,Stapp Car Crash J,40,"0,205",United States,Northern America,2006-2019,Stapp car crash journal[Journal]
8191,Transactions of the American Clinical and Climatological Association,Trans Am Clin Climatol Assoc,40,"0,357",United States,Northern America,"1952-1957, 1959-1962, 1964-1965, 1967-1970, 1972-1973, 1975-1990, 1992-1996, 1998-2019",Transactions of the American Clinical and Climatological Association[Journal]
8209,AoB PLANTS,AoB Plants,39,"0,998",United Kingdom,Western Europe,"2009, 2011-2020",AoB PLANTS[Journal]
8220,Blood advances,Blood Adv,39,"2,685",United States,Northern America,2017-2020,Blood advances[Journal]
8236,Current environmental health reports,Curr Environ Health Rep,39,"1,699",Switzerland,Western Europe,2014-2020,Current environmental health reports[Journal]
8275,International braz j urol : official journal of the Brazilian Society of Urology,Int Braz J Urol,39,"0,472",Brazil,Latin America,2002-2020,International braz j urol : official journal of the Brazilian Society of Urology[Journal]
8300,JAMA network open,JAMA Netw Open,39,"3,278",United States,Northern America,2018-2020,JAMA network open[Journal]
8308,Journal of clinical orthodontics : JCO,J Clin Orthod,39,"0,199",United States,Northern America,1970-2020,Journal of clinical orthodontics : JCO[Journal]
8337,Journal of the Royal Society of New Zealand,J R Soc N Z,39,"0,392",United Kingdom,Western Europe,1971-2020,Journal of the Royal Society of New Zealand[Journal]
8347,Metabolites,Metabolites,39,"1,109",Switzerland,Western Europe,2010-2020,Metabolites[Journal]
8351,mSphere,mSphere,39,"1,749",United States,Northern America,2016-2020,mSphere[Journal]
8352,mSystems,mSystems,39,"2,931",United States,Northern America,2016-2020,mSystems[Journal]
8389,Small GTPases,Small GTPases,39,"1,896",United States,Northern America,2010-2020,Small GTPases[Journal]
8394,Statistica Neerlandica,Stat Neerl,39,"0,520",United Kingdom,Western Europe,"1946, 1948-2020",Statistica Neerlandica[Journal]
8413,Zeitschrift fur Gerontologie und Geriatrie,Z Gerontol Geriatr,39,"0,361",Germany,Western Europe,1995-2020,Zeitschrift fur Gerontologie und Geriatrie[Journal]
8434,Biosensors,Biosensors,38,"0,910",Switzerland,Western Europe,2011-2020,Biosensors[Journal]
8434,Biosensors,Biosensors (Basel),38,"0,910",Switzerland,Western Europe,2011-2020,Biosensors[Journal]
8449,Compare,Compare,38,"0,745",United Kingdom,Western Europe,1975-2020,Compare[Journal]
8463,Diversity,Diversity (Basel),38,"0,697",Switzerland,Western Europe,2009-2020,Diversity[Journal]
8471,Erkenntnis,Erkenntnis,38,"0,763",Netherlands,Western Europe,"1919-1921, 1924-1925, 1928-1932, 1934-1937, 1939, 1975-2002, 2004, 2006-2020",Erkenntnis[Journal]
8473,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Eur Arch Paediatr Dent,38,"0,556",Germany,Western Europe,2006-2020,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry[Journal]
8482,Geodiversitas,Geodiversitas,38,"0,612",France,Western Europe,2002-2020,Geodiversitas[Journal]
8486,Grana,Grana,38,"0,403",United Kingdom,Western Europe,"1970-1974, 1978-2020",Grana[Journal]
8531,Journal of Central South University,J Cent South Univ,38,"0,345",United States,Northern America,2013-2020,Journal of Central South University[Journal]
8567,Materialwissenschaft und Werkstofftechnik,Materwiss Werksttech,38,"0,285",Germany,Western Europe,1970-2020,Materialwissenschaft und Werkstofftechnik[Journal]
8569,Metal ions in life sciences,Met Ions Life Sci,38,"0,564",Germany,Western Europe,"2007, 2010-2020",Metal ions in life sciences[Journal]
8625,Zeitschrift fur Rheumatologie,Z Rheumatol,38,"0,323",Germany,Western Europe,1974-2020,Zeitschrift fur Rheumatologie[Journal]
8626,3 Biotech,3 Biotech,37,"0,557",Switzerland,Western Europe,2014-2020,3 Biotech[Journal]
8688,Crustaceana,Crustaceana,37,"0,278",Netherlands,Western Europe,1960-2020,Crustaceana[Journal]
8689,Crystals,Crystals (Basel),37,"0,538",Switzerland,Western Europe,2010-2020,Crystals[Journal]
8710,Globalizations,Globalizations,37,"0,798",United Kingdom,Western Europe,2004-2020,Globalizations[Journal]
8713,"Healthcare quarterly (Toronto, Ont.)",Healthc Q,37,"0,256",Canada,Northern America,2004-2020,"Healthcare quarterly (Toronto, Ont.)[Journal]"
8714,Health security,Health Secur,37,"0,705",United States,Northern America,2015-2020,Health security[Journal]
8724,Insects,Insects,37,"0,802",Switzerland,Western Europe,2010-2020,Insects[Journal]
8762,Journal of the Southern African Institute of Mining and Metallurgy,J South Afr Inst Min Metall,37,"0,321",South Africa,Africa,"1988, 2006-2020",Journal of the Southern African Institute of Mining and Metallurgy[Journal]
8763,Klinische Monatsblatter fur Augenheilkunde,Klin Monbl Augenheilkd,37,"0,234",Germany,Western Europe,1963-2020,Klinische Monatsblatter fur Augenheilkunde[Journal]
8767,Limnology,Limnology (Tokyo),37,"0,542",Japan,Asiatic Region,2000-2020,Limnology[Journal]
8774,Monatshefte fur Mathematik,Mon Hefte Math,37,"0,719",Austria,Western Europe,"1890-1918, 1920-1923, 1926, 1928-1937, 1939, 1941, 1948-2020",Monatshefte fur Mathematik[Journal]
8801,Revista da Associacao Medica Brasileira,Rev Assoc Med Bras,37,"0,319",Brazil,Latin America,"1976, 1992-2020",Revista da Associacao Medica Brasileira[Journal]
8809,Teaching Sociology,Teach Sociol,37,"0,252",United States,Northern America,"1986, 1990, 1996-2020",Teaching Sociology[Journal]
8817,Traumatology,Traumatology (Tallahass Fla),37,"0,474",United States,Northern America,"1996-1999, 2002-2006, 2008-2020",Traumatology[Journal]
8820,Vaccines,Vaccines (Basel),37,"1,296",Switzerland,Western Europe,2013-2020,Vaccines[Journal]
8880,Diagnostic and interventional imaging,Diagn Interv Imaging,36,"1,037",France,Western Europe,2012-2020,Diagnostic and interventional imaging[Journal]
8888,eNeuro,eNeuro,36,"2,000",United States,Northern America,2014-2020,eNeuro[Journal]
8895,EvoDevo,Evodevo,36,"1,078",United Kingdom,Western Europe,2010-2020,EvoDevo[Journal]
8900,Geospatial health,Geospat Health,36,"0,545",Italy,Western Europe,2006-2020,Geospatial health[Journal]
8906,HNO,HNO,36,"0,438",Germany,Western Europe,"1948, 1953-2020",HNO[Journal]
8956,Journal of medicine and life,J Med Life,36,"0,354",Romania,Eastern Europe,2008-2020,Journal of medicine and life[Journal]
8974,Malacologia,Malacologia,36,"1,556",United States,Northern America,"1971-1973, 1975-1977, 1979, 1996, 1998-2004, 2006-2019",Malacologia[Journal]
8975,Mammalia,Mammalia,36,"0,436",Germany,Western Europe,"1936-1937, 1939-2020",Mammalia[Journal]
8980,Medicina,Medicina (B Aires),36,"0,530",Switzerland,Western Europe,2002-2020,Medicina[Journal]
8980,Medicina,Medicina (Madr),36,"0,530",Switzerland,Western Europe,2002-2020,Medicina[Journal]
8980,Medicina,Medicina (Mex),36,"0,530",Switzerland,Western Europe,2002-2020,Medicina[Journal]
8980,Medicina,Medicina,36,"0,530",Switzerland,Western Europe,2002-2020,Medicina[Journal]
9912,Medicina,Medicina (B Aires),32,"0,177",Argentina,Latin America,1945-2020,Medicina[Journal]
9912,Medicina,Medicina (Madr),32,"0,177",Argentina,Latin America,1945-2020,Medicina[Journal]
9912,Medicina,Medicina (Mex),32,"0,177",Argentina,Latin America,1945-2020,Medicina[Journal]
9912,Medicina,Medicina,32,"0,177",Argentina,Latin America,1945-2020,Medicina[Journal]
19448,Medicina,Medicina (B Aires),10,"0,104",Brazil,Latin America,1991-2020,Medicina[Journal]
19448,Medicina,Medicina (Madr),10,"0,104",Brazil,Latin America,1991-2020,Medicina[Journal]
19448,Medicina,Medicina (Mex),10,"0,104",Brazil,Latin America,1991-2020,Medicina[Journal]
19448,Medicina,Medicina,10,"0,104",Brazil,Latin America,1991-2020,Medicina[Journal]
8982,Metals,Metals (Basel),36,"0,570",Switzerland,Western Europe,2011-2020,Metals[Journal]
8983,MicrobiologyOpen,Microbiologyopen,36,"0,881",United States,Northern America,2012-2020,MicrobiologyOpen[Journal]
8991,Neonatal network : NN,Neonatal Netw,36,"0,210",United States,Northern America,1985-2020,Neonatal network : NN[Journal]
9006,Phytotaxa,Phytotaxa,36,"0,443",New Zealand,Pacific Region,2010-2020,Phytotaxa[Journal]
9046,Zeitschrift fur Orthopadie und Unfallchirurgie,Z Orthop Unfall,36,"0,217",Germany,Western Europe,2007-2020,Zeitschrift fur Orthopadie und Unfallchirurgie[Journal]
9115,Extremes,Extremes (Boston),35,"1,083",Netherlands,Western Europe,2004-2020,Extremes[Journal]
9132,Interciencia,Interciencia,35,"0,171",Venezuela,Latin America,"1979, 1981-1982, 1986, 1990, 1993, 1996-2020",Interciencia[Journal]
9144,Islets,Islets,35,"0,818",United States,Northern America,2009-2020,Islets[Journal]
9210,Nefrologia,Nefrologia (Engl Ed),35,"0,319",Spain,Western Europe,1981-2020,Nefrologia[Journal]
9253,Therapie,Therapie,35,"0,387",France,Western Europe,"1947-1948, 1950-2020",Therapie[Journal]
9278,Algorithms,Algorithms,34,"0,346",Switzerland,Western Europe,2008-2020,Algorithms[Journal]
9297,Bioengineered,Bioengineered,34,"0,518",United Kingdom,Western Europe,2012-2020,Bioengineered[Journal]
9313,ChemistrySelect,ChemistrySelect,34,"0,437",United Kingdom,Western Europe,2016-2020,ChemistrySelect[Journal]
9415,Journal of Korean Neurosurgical Society,J Korean Neurosurg Soc,34,"0,604",South Korea,Asiatic Region,2008-2020,Journal of Korean Neurosurgical Society[Journal]
9429,Journal of the International Phonetic Association,J Int Phon Assoc,34,"0,405",United Kingdom,Western Europe,"1971-1985, 1987-2020",Journal of the International Phonetic Association[Journal]
9434,Kolner Zeitschrift fur Soziologie und Sozialpsychologie,Kolner Z Soz Sozpsychol,34,"0,455",Germany,Western Europe,"1983, 1988-1989, 1992-1993, 1996-2020",Kolner Zeitschrift fur Soziologie und Sozialpsychologie[Journal]
9466,Post reproductive health,Post Reprod Health,34,"0,240",United States,Northern America,"1995, 2014-2020",Post reproductive health[Journal]
9473,Psychiatria Danubina,Psychiatr Danub,34,"0,394",Croatia,Eastern Europe,1989-2020,Psychiatria Danubina[Journal]
9474,Psychiatrische Praxis,Psychiatr Prax,34,"0,399",Germany,Western Europe,1974-2020,Psychiatrische Praxis[Journal]
9505,Yearbook of medical informatics,Yearb Med Inform,34,"0,693",United States,Northern America,2006-2020,Yearbook of medical informatics[Journal]
9537,Calcolo,Calcolo,33,"0,876",Italy,Western Europe,1964-2020,Calcolo[Journal]
9542,Cartilage,Cartilage,33,"0,705",United States,Northern America,2010-2020,Cartilage[Journal]
9565,Die Rehabilitation,Rehabilitation (Stuttg),33,"0,282",Germany,Western Europe,1972-2020,Die Rehabilitation[Journal]
9573,Erdkunde,Erdkunde,33,"0,763",Germany,Western Europe,"1976, 1978-2020",Erdkunde[Journal]
9589,Hamostaseologie,Hamostaseologie,33,"0,312",Germany,Western Europe,1981-2020,Hamostaseologie[Journal]
9601,INFOR,INFOR,33,"0,498",Canada,Northern America,"1971-1989, 1996-2019",INFOR[Journal]
9671,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,33,"0,229",Pakistan,Asiatic Region,1996-2020,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP[Journal]
9673,Journal of the Indian Society of Pedodontics and Preventive Dentistry,J Indian Soc Pedod Prev Dent,33,"0,378",India,Asiatic Region,"1983-1989, 1991-2020",Journal of the Indian Society of Pedodontics and Preventive Dentistry[Journal]
9687,Mobile DNA,Mob DNA,33,"2,047",United Kingdom,Western Europe,2010-2020,Mobile DNA[Journal]
9694,Nuclear receptor signaling,Nucl Recept Signal,33,"0,434",United States,Northern America,"2007-2016, 2018",Nuclear receptor signaling[Journal]
9717,Psychologica Belgica,Psychol Belg,33,"0,511",Belgium,Western Europe,"1978, 1996-2020",Psychologica Belgica[Journal]
9729,Semiotica,Semiotica,33,"0,230",Germany,Western Europe,1969-2020,Semiotica[Journal]
9741,Statistics,Statistics (Ber),33,"0,683",United Kingdom,Western Europe,1985-2020,Statistics[Journal]
9755,Advances in peritoneal dialysis. Conference on Peritoneal Dialysis,Adv Perit Dial,32,"0,150",Canada,Northern America,1989-2018,Advances in peritoneal dialysis. Conference on Peritoneal Dialysis[Journal]
9777,B-ENT,B-ENT,32,"0,180",Belgium,Western Europe,2005-2020,B-ENT[Journal]
9778,Bioacoustics,Bioacoustics,32,"0,740",United Kingdom,Western Europe,1988-2020,Bioacoustics[Journal]
9806,Der Radiologe,Radiologe,32,"0,205",Germany,Western Europe,1960-2020,Der Radiologe[Journal]
9833,Health systems in transition,Health Syst Transit,32,"2,765",Denmark,Western Europe,2010-2020,Health systems in transition[Journal]
9913,Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses,Medsurg Nurs,32,"0,194",United States,Northern America,"1992-2000, 2002-2019",Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses[Journal]
9921,Neurophotonics,Neurophotonics,32,"1,117",United States,Northern America,2014-2020,Neurophotonics[Journal]
9930,Photoacoustics,Photoacoustics,32,"1,935",Germany,Western Europe,2013-2020,Photoacoustics[Journal]
9971,Yao xue xue bao = Acta pharmaceutica Sinica,Yao Xue Xue Bao,32,"0,152",China,Asiatic Region,"1960, 1962-1966, 1979-2019",Yao xue xue bao = Acta pharmaceutica Sinica[Journal]
9973,Zentralblatt fur Chirurgie,Zentralbl Chir,32,"0,200",Germany,Western Europe,"1947-1948, 1950-1961, 1963-2020",Zentralblatt fur Chirurgie[Journal]
9991,Annals of Indian Academy of Neurology,Ann Indian Acad Neurol,31,"0,427",India,Asiatic Region,2006-2020,Annals of Indian Academy of Neurology[Journal]
9998,Aquaculture Environment Interactions,Aquac Environ Interact,31,"0,544",Germany,Western Europe,2010-2020,Aquaculture Environment Interactions[Journal]
10018,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,Cancer Radiother,31,"0,288",France,Western Europe,1997-2020,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique[Journal]
10037,Dental update,Dent Update,31,"0,211",United Kingdom,Western Europe,1973-2020,Dental update[Journal]
10058,Games for health journal,Games Health J,31,"0,764",United States,Northern America,2012-2020,Games for health journal[Journal]
10059,Geochronometria,Geochronometria,31,"0,626",Germany,Western Europe,2000-2020,Geochronometria[Journal]
10096,"Journal of Ayub Medical College, Abbottabad : JAMC",J Ayub Med Coll Abbottabad,31,"0,195",Pakistan,Asiatic Region,2001-2020,"Journal of Ayub Medical College, Abbottabad : JAMC[Journal]"
10114,Journal of integrative medicine,J Integr Med,31,"0,564",Singapore,Asiatic Region,2013-2020,Journal of integrative medicine[Journal]
10129,Journal of the International Association of Providers of AIDS Care,J Int Assoc Provid AIDS Care,31,"0,813",United States,Northern America,"2011, 2013-2020",Journal of the International Association of Providers of AIDS Care[Journal]
10131,Journal of the Pediatric Infectious Diseases Society,J Pediatric Infect Dis Soc,31,"1,269",United States,Northern America,2012-2020,Journal of the Pediatric Infectious Diseases Society[Journal]
10132,Journal of the South African Veterinary Association,J S Afr Vet Assoc,31,"0,535",South Africa,Africa,"1945, 1948, 1961, 1971-2020",Journal of the South African Veterinary Association[Journal]
10169,Progress in the chemistry of organic natural products,Prog Chem Org Nat Prod,31,"1,448",Germany,Western Europe,2012-2020,Progress in the chemistry of organic natural products[Journal]
10193,Surgical technology international,Surg Technol Int,31,"0,276",United States,Northern America,"2002-2010, 2012-2020",Surgical technology international[Journal]
10210,Zeitschrift fur Soziologie,Z Soziol,31,"0,476",Germany,Western Europe,"1981, 1983-1984, 1986-1987, 1989-1991, 1994-2020",Zeitschrift fur Soziologie[Journal]
10211,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,Zhonghua Liu Xing Bing Xue Za Zhi,31,,China,Asiatic Region,"1982-2016, 2020",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi[Journal]
10220,Adicciones,Adicciones,30,"0,953",Spain,Western Europe,1994-2020,Adicciones[Journal]
10235,Annual review of nursing research,Annu Rev Nurs Res,30,"0,115",Germany,Western Europe,"1983-2011, 2013-2016, 2018-2019",Annual review of nursing research[Journal]
10297,Epidemiologia e prevenzione,Epidemiol Prev,30,"0,289",Italy,Western Europe,1987-2020,Epidemiologia e prevenzione[Journal]
10306,Fly,Fly (Austin),30,"1,013",United States,Northern America,2007-2020,Fly[Journal]
10415,Korean journal of ophthalmology : KJO,Korean J Ophthalmol,30,"0,357",South Korea,Asiatic Region,"1987-2017, 2020",Korean journal of ophthalmology : KJO[Journal]
10451,Population,Population (Paris),30,"0,304",France,Western Europe,"1946-1947, 1973-2020",Population[Journal]
10452,Positivity,Positivity (Dordr),30,"0,621",Switzerland,Western Europe,1997-2020,Positivity[Journal]
10459,Radiography,Radiography,30,"0,451",United Kingdom,Western Europe,1995-2020,Radiography[Journal]
10471,Skin therapy letter,Skin Therapy Lett,30,"0,649",Canada,Northern America,1999-2020,Skin therapy letter[Journal]
10476,Strabismus,Strabismus,30,"0,439",United Kingdom,Western Europe,1993-2020,Strabismus[Journal]
